Algorithm,Cell_Type,Cell_Size,Processing_Time_BFS (ms),Nodes_Processed_BFS (%),Processing_Time_DFS (ms),Nodes_Processed_DFS (%),Processing_Time_UCS (ms),Nodes_Processed_UCS (%),Processing_Time_Greedy (ms),Nodes_Processed_Greedy (%),Processing_Time_AStar (ms),Nodes_Processed_AStar (%)
GrowingTree,Rectangle,1000,3.33,49.34,0.33,30.58,4.15,49.34,3.36,41.21,4.49,48.72
Wilsons,Square,6084,6.88,89.12,0.4,32.33,8.02,89.12,3.03,35.71,8.21,84.87
BacktrackingGenerator,Rectangle,2660,3.51,47.09,0.41,36.84,3.85,47.09,3.61,38.15,3.91,42.46
Prims,Rectangle,2432,3.54,47.72,0.41,32.96,4.42,47.72,3.46,32.83,5.27,47.22
Ellers,Rectangle,2160,5.3,74.48,0.57,49.97,5.74,74.48,5.77,65.1,6.34,70.86
CellularAutomaton,Rectangle,720,6.3,84.62,0.4,35.21,8.27,84.62,8.09,90.74,6.59,68.86
BinaryTree,Rectangle,1632,5.82,80.99,0.83,76.24,7.26,80.99,7.38,80.49,6.91,80.61
BacktrackingGenerator,Rectangle,1776,4.26,55.6,0.51,42.34,5.37,55.6,4.72,42.78,4.84,49.84
Prims,Rectangle,1620,4.47,60.85,0.56,41.21,5.41,60.85,4.19,42.28,5.59,51.72
TrivialMaze,Rectangle,2184,5.61,75.86,0.37,32.83,6.13,75.86,2.92,34.65,5.32,60.35
Ellers,Square,784,5.52,77.92,0.68,58.85,6.62,77.99,5.95,60.41,6.74,68.36
Division,Rectangle,3680,5.55,76.86,0.79,72.23,6.37,76.86,6.6,74.48,7.01,75.73
Wilsons,Rectangle,3328,5.43,71.11,0.61,49.97,6.4,71.11,4.49,51.78,6.47,65.98
Prims,Rectangle,1232,3.32,49.22,0.25,21.58,4.29,49.22,1.91,22.83,4.07,44.22
HuntAndKill,Rectangle,4488,5.77,82.49,0.63,58.22,7.83,82.49,5.12,58.29,7.56,74.98
HuntAndKill,Rectangle,4060,3.62,54.47,0.18,15.2,4.73,54.47,1.28,15.2,3.87,42.46
BacktrackingGenerator,Rectangle,1792,6.49,89.99,0.89,79.86,7.68,89.99,7.38,81.86,8.02,88.62
Kruskal,Rectangle,4160,5.84,85.99,0.6,52.35,6.92,85.99,4.56,52.47,7.67,84.99
Wilsons,Rectangle,1472,5.27,72.61,0.51,43.96,6.73,72.61,6.26,69.86,6.81,69.98
AldousBroder,Rectangle,2900,5.58,78.11,0.41,38.34,6.56,78.11,3.38,40.46,6.78,76.36
Wilsons,Rectangle,4144,4.68,65.73,0.25,21.2,6,65.73,4.68,46.65,5.93,60.6
Sidewinder,Rectangle,1856,5.72,77.49,0.52,43.71,6.48,77.49,4.12,46.84,6.35,70.11
HuntAndKill,Rectangle,4080,6.83,96.62,0.87,83.11,8.99,96.62,8.91,96.62,8.96,96.62
AldousBroder,Rectangle,2976,6.07,87.74,0.39,35.21,6.99,87.74,3.17,37.9,7.3,77.74
Prims,Rectangle,2040,5.29,74.23,0.52,47.47,6.17,74.23,5.02,56.6,6.71,68.48
Ellers,Rectangle,4480,2.21,33.08,0.17,14.95,2.5,33.08,1.39,16.57,2.09,22.83
CellularAutomaton,Rectangle,5772,6.87,96.62,0.97,76.74,7.82,96.62,7.16,77.61,8.6,94.12
